source_platform,source_tag,rank,wallet,pnl_usd,source_url,note
pumpfun,pumpfun_pnl_leaderboard,101,3neNZ7NxWhp5R92doeKkhoau8p7zVBtLQJzVrPXqsWEc,72975.94535965004,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 16 is by net pnlUsd=533758.5720938176; stored value is realizedPnlUsd). username=xSickFish
pumpfun,gmgn_launchpad_smart,102,B32QbbdDAyhvUQzjcaM5j6ZVKwjCxAwGH5Xgvb9SJqnC,72437.12277771631,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=3561
pumpfun,gmgn_launchpad_smart,103,8hS4RZETeCXyG4UtD6UeoZ1uzjUZmfEHJ4mq5So8zmtL,70189.78996149704,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=1199
pumpfun,pumpfun_pnl_leaderboard,104,5hAgYC8TJCcEZV7LTXAzkTrm7YL29YXyQQJPCNrG84zM,69630.37317386731,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=weekly,pump.fun public PnL leaderboard 7d (on-site rank 17 is by net pnlUsd=102200.47068115065; stored value is realizedPnlUsd). username=schoen
pumpfun,gmgn_launchpad_smart,105,9RGjjbRdxyErozMgTzgtF2Y3fdduHNQSHT5ZbmW1jLAK,69122.73032492508,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=1497
pumpfun,pumpfun_pnl_leaderboard,106,2KQKDA9RtgB8wfGMcnGsKMfFY2BkktG2ETMtRPSAzB8C,68909.08385022456,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=weekly,pump.fun public PnL leaderboard 7d (on-site rank 31 is by net pnlUsd=72056.448838023; stored value is realizedPnlUsd). username=abil
pumpfun,gmgn_launchpad_smart,107,9be8w7td3fXqJfgH5K8uvyeGTd3tWFZqF11u8kJCGQ4p,68554.30021988538,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=1315
pumpfun,gmgn_launchpad_smart,108,211XxEq6Y3d5n5KwvszAoipnydfGKn8Hj9NpLHtxN8Vz,67334.9470884643,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=11247
pumpfun,gmgn_launchpad_smart,109,CN8GfmA2tyr3Pxmy5sMNhaGEFhAvy8AjnWMevXSZNxFq,65771.05005860732,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=12996
pumpfun,gmgn_launchpad_smart,110,J1eguri6RpXj7H9hXNrt3TcTdJxenUrwzouAaKpiPQvC,63887.57208660848,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=5221
