bucket,source_platform,rank,wallet,pnl_usd_or_pump_ui,amount_hell,source_url,note
trader_pumpfun,pumpfun,1,3jWTgYPG5s7WfaRvppPBXio4hHQxg18fLUkV2z5covSQ,1785946.9039469212,72328,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 4 is by net pnlUsd=1789700.3100670828; stored value is realizedPnlUsd). username=Weeshark
trader_pumpfun,pumpfun,2,21rgbFW6sujQovCw3qt6R2EdE97Yzzvk8sSc37Bb72Cm,1283587.4580841095,77742,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 7 is by net pnlUsd=1120448.6537521628; stored value is realizedPnlUsd). username=hexiecs
trader_pumpfun,pumpfun,3,8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,1132819.1427924484,76739,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 58 is by net pnlUsd=179976.73304394973; stored value is realizedPnlUsd). username=cooker
trader_pumpfun,pumpfun,4,BQ4KBzzXXk6ZMxVQb4mePuUbJfe85MerzYj53eatzUWd,1112610.7505770207,85256,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 19 is by net pnlUsd=512298.24906199006; stored value is realizedPnlUsd). username=brc20niubi
trader_pumpfun,pumpfun,5,Bmi9zf27MNN5pjCtyv2Y15TDQoYgcbcmPTxvEoQ6UwWs,702321.0583803878,82225,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 3 is by net pnlUsd=2353783.519842278; stored value is realizedPnlUsd). username=Crypto_Keys
trader_pumpfun,pumpfun,6,2jgmHtkCkJXm3Xq4dp9DgippkQjXLK3rhaREAz7oG7s7,667019.8527024244,76687,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 12 is by net pnlUsd=671123.1813539764; stored value is realizedPnlUsd). username=six666888eight
trader_pumpfun,pumpfun,7,J23qr98GjGJJqKq9CBEnyRhHbmkaVxtTJNNxKu597wsA,660297.0922748062,72321,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 5 is by net pnlUsd=1782744.2723071575; stored value is realizedPnlUsd). username=gr3gor14n
trader_pumpfun,pumpfun,8,EeiWEJNqoGosFA7oWPEZJbm9ntf6umdTV7cWHxYDeDHb,546432.0413982257,87203,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 15 is by net pnlUsd=547747.1368233655; stored value is realizedPnlUsd). username=remp
trader_pumpfun,pumpfun,9,HXpJhVrbdGvnaPh2zpex7boUGX1qiRTL5ZNhmV76pBpC,493050.6606670201,75431,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 21 is by net pnlUsd=490703.1845609218; stored value is realizedPnlUsd). username=LaserDandyWing
trader_pumpfun,pumpfun,10,q1x4ZBM4suUaMB8BjsHpVH5dwyUtEnRY8QB8kzvCQ9z,457176.27064823784,77301,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 29 is by net pnlUsd=391647.63785735687; stored value is realizedPnlUsd). username=deroller
trader_pumpfun,pumpfun,11,CP8EA1BnR2bnHa7BJps9c53zZwxaubrBtQCbREaZVibe,442250.3424333485,80778,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 23 is by net pnlUsd=440843.3403781867; stored value is realizedPnlUsd). username=lvvpumpy
trader_pumpfun,pumpfun,12,GijFWw4oNyh9ko3FaZforNsi3jk6wDovARpkKahPD4o5,420596.74220301467,84916,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 32 is by net pnlUsd=358990.9256375834; stored value is realizedPnlUsd). username=lunarfang
trader_pumpfun,pumpfun,13,4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9,420286.69739841705,78444,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 25 is by net pnlUsd=420016.8802502416; stored value is realizedPnlUsd). username=notdecu
trader_pumpfun,pumpfun,14,4YMaKs8Xx1U1NyP1PTQe5J3kxZvE3bSCoVUEPgrkNXpb,420003.3202767308,84749,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 26 is by net pnlUsd=403679.9116126343; stored value is realizedPnlUsd). username=munji
trader_pumpfun,pumpfun,15,ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT,393150.52697989374,78742,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 27 is by net pnlUsd=395493.03572432365; stored value is realizedPnlUsd). username=trunoest
trader_pumpfun,pumpfun,16,29yFzeBZgxf5zqrAkKXwgZtQehRf4pL8WbV2nRJikbw8,392939.84895731846,81843,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 28 is by net pnlUsd=393579.645558489; stored value is realizedPnlUsd). username=throatycrab1008
trader_pumpfun,pumpfun,17,7VHRg4Wi55NtnK68VRjWwhy4x1XYF846DHWnPBXwRmnv,386094.5869202918,73375,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=2014
trader_pumpfun,pumpfun,18,HizZ5US8st5MHKXjeboHwGmbDa85KeM8GG1a7XJNMUrc,362654.19506417116,79825,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 50 is by net pnlUsd=243230.20356388306; stored value is realizedPnlUsd). username=GemAnon
trader_pumpfun,pumpfun,19,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,325061.02015478734,72332,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 38 is by net pnlUsd=328886.1796846289; stored value is realizedPnlUsd). username=cented69420
trader_pumpfun,pumpfun,20,9H7nQxF1vmrr9fjcE55Y9RoTb1uhKtE7934y8Ww8oijr,317465.0882029849,74266,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 37 is by net pnlUsd=332741.50191298546; stored value is realizedPnlUsd). username=yuge69
trader_pumpfun,pumpfun,21,8oEdL8WBRpE3C63FeqZ7hwSH8fjh715ZvkgmMLhDneGm,309082.5654902086,85081,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=2104
trader_pumpfun,pumpfun,22,AusMtCwzrPnPoJUSHYUH9iogVwpWh2ESHC6xWU75tBDo,288852.3186969536,84168,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 36 is by net pnlUsd=334526.5021824387; stored value is realizedPnlUsd). username=Uniswapvillain
trader_pumpfun,pumpfun,23,FtDwzAxJuMmLa3MDVxcGjKRwHmpNnMyCzmEwGQYX5q9J,283564.2318599227,77180,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 39 is by net pnlUsd=299628.6260980083; stored value is realizedPnlUsd). username=360ng
trader_pumpfun,pumpfun,24,5CYEcx88NhdRaFw3pc5YNBXoiKa3EseD8BM7Bvs8NkaU,279684.27899004414,87971,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 40 is by net pnlUsd=284705.8855646547; stored value is realizedPnlUsd). username=Loshmi
trader_pumpfun,pumpfun,25,24L6uekgvsQRgT41DZRhahEAAVnkseTT7x4qyigC3HvH,277539.6664742298,83488,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 9 is by net pnlUsd=1000904.4144428198; stored value is realizedPnlUsd). username=Nexybtw
trader_pumpfun,pumpfun,26,HJanh4pRroez2icDzkNdnF889wMUYDMvKPaR8FmFsnSk,274121.15325069876,87646,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=1749
trader_pumpfun,pumpfun,27,BBogREAjjhZ4URMRDXw4kcUVahXzfJiHTxL6LUsPhe4F,270400.5047830142,82464,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=1827
trader_pumpfun,pumpfun,28,5jtT1P4WQVL7xRRJGtijHxkApa3fk6N5un2BJoBYj5R,265832.7600626732,74877,https://github.com/nirholas/kol-quest/blob/main/site/data/solwallets.json,GMGN Solana launchpad_smart snapshot captured 2026-03-09 (kol-quest interceptor); realized_profit_30d USD; txs_30d=2202
trader_pumpfun,pumpfun,29,215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP,264641.0555722929,84646,https://frontend-api-v3.pump.fun/pnl-leaderboard?period=monthly,pump.fun public PnL leaderboard 30d (on-site rank 43 is by net pnlUsd=271302.4776202614; stored value is realizedPnlUsd). username=ogantd
