bucket,count,sum_amount_hell,min_amount_hell,max_amount_hell
nft_gamer,80,6402629,72125,87711
player_ronda1,11,873451,72248,87628
pump_person,962,76963872,72044,87999
trader_pumpfun,447,35760048,72034,87971
ALL,1500,120000000,72034,87999
